FACTORY,FTY STATUS,SALES DOLLARS,SALES UNITS,MMO,IMO,MARK DOWNS,DAMAGE RATE,Lead Time Days,On Time %,Reject %,Pairs Defect %,Pkg Defect %,"Customer Damage per 100,000",Total Damage Rate,Receipt Units,Receipt 1st Cost,Average 1st Cost,Year
RUNDA,SA,298.02798,31.841,0.436664537,0.600144134,0.387838115,0.020571558,69.76133478,1,0,0.073717949,0,0.004742313,0.020571558,33.12,162.288,4.9,2000
YICHENG,SA,657.41762,31.693,0.528977349,0.633414555,0.179583641,0.109394421,,,0,0,0,0.023601426,0.109394421,,,,2000
GENFOOT,SA,353.51183,30.915,0.537324225,0.583074185,0.102650087,0.00726714,140.4303092,1,0,0.001572327,0,0.003137635,0.00726714,22.164,110.82,5,2000
JINHUI,SA,227.22629,29.148,0.555788549,0.608762127,0.122121564,0.013817415,,,0,0,0,0.000308769,0.013817415,,,,2000
BLIPPAV,SA,485.11724,28.889,0.471676888,0.556278139,0.190415558,0.000251011,,,0,0,0,0.000138461,0.000251011,,,,2000
CALIPLASTI,SA,525.02154,28.595,0.532912307,0.572286143,0.088743997,0.003312493,0,0.668981481,0,0,0.025,0.005070817,0.003312493,36.258,293.6898,8.1,2000
DBLESTAR-2,SA,150.15736,26.474,0.568907711,0.596003853,0.056087161,0.011271442,,,0,0,0,0.004117247,0.011271442,,,,2000
BLIP,SA,281.42643,25.322,0.412537834,0.553450664,0.304521327,0.01113609,,,0,0,0,0.006674038,0.01113609,,,,2000
JUXIANG,SA,240.88663,25.069,0.429286964,0.594609501,0.35186544,0.056492799,,,0,0,0,0.014839044,0.056492799,,,,2000
CARTWILKES,SA,191.11015,24.527,0.512056162,0.524417141,0.025433395,0.000746167,,,0,0,0,0.000122314,0.000746167,,,,2000
SAMJOO,SA,746.22065,23.349,0.47310788,0.520442293,0.094825652,0.003899115,71.97366111,0.756023803,0.07306203,0.102073365,0,0.005910317,0.003899115,41.004,543.01512,13.24297922,2000
SPARK,SA,282.84748,20.802,0.38794148,0.533177013,0.30309091,0.008003324,82.6171875,1,0,0.037168142,0,0.007066628,0.008003324,39.936,251.5356,6.298467548,2000
BOSS,SA,48.99266,19.886,-0.232155592,0.584410117,1.865125919,0.053609255,,,0,0,0,0.005430956,0.053609255,,,,2000
RALLYE,SA,484.95793,18.944,0.446136905,0.560027657,0.242593476,0.016934108,123.8979939,1,0,0.029569892,0,0.008129223,0.016934108,17.646,222.912,12.63243795,2000
GRANDSMART,SA,201.85254,17.909,0.577558152,0.633583366,0.152514157,0.000551343,,,0,0,0,0.000111676,0.000551343,,,,2000
FUZHOUGENE,SA,125.96904,17.251,-0.015168489,0.609559004,1.382081264,0.215658625,,,0,0,0,0.031476436,0.215658625,,,,2000
JIMLONG,SA,365.62967,15.991,0.327955934,0.528886019,0.383996244,0.0391742,,,0,0,0,0.019636045,0.0391742,,,,2000
EVERLEAD,SA,309.78403,15.437,0.490372696,0.493509796,-0.005598739,0.013775629,58.34631771,1,0,0.13258427,0,0.017425666,0.013775629,20.724,160.611,7.75,2000
SHENGDA,SA,125.47843,14.13,0.562822232,0.611611612,0.124963868,0.000588866,,,0,0,0,0.000212314,0.000588866,,,,2000
HUACHANGBA,SA,84.23093,13.845,0.321467067,0.627777066,0.717724712,0.104119354,,,0,0,0,0.014445648,0.104119354,,,,2000
